Unnamed: 0,country,designation,points,price,title,variety,winery
0,Italy,Vulkà Bianco,87,,Nicosia 2013 Vulkà Bianco  (Etna),White Blend,Nicosia
1,Portugal,Avidagos,87,15.0,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portuguese Red,Quinta dos Avidagos
2,US,,87,14.0,Rainstorm 2013 Pinot Gris (Willamette Valley),Pinot Gris,Rainstorm
3,US,Reserve Late Harvest,87,13.0,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),Riesling,St. Julian
4,US,Vintner's Reserve Wild Child Block,87,65.0,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks
5,Spain,Ars In Vitro,87,15.0,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Tempranillo-Merlot,Tandem
6,Italy,Belsito,87,16.0,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Frappato,Terre di Giurfo
7,France,,87,24.0,Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,Trimbach
8,Germany,Shine,87,12.0,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,Heinz Eifel
9,France,Les Natures,87,27.0,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),Pinot Gris,Jean-Baptiste Adam
10,US,Mountain Cuvée,87,19.0,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature
11,France,,87,30.0,Leon Beyer 2012 Gewurztraminer (Alsace),Gewürztraminer,Leon Beyer
12,US,,87,34.0,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Louis M. Martini
13,Italy,Rosso,87,,Masseria Setteporte 2012 Rosso  (Etna),Nerello Mascalese,Masseria Setteporte
14,US,,87,12.0,Mirassou 2012 Chardonnay (Central Coast),Chardonnay,Mirassou
15,Germany,Devon,87,24.0,Richard Böcking 2013 Devon Riesling (Mosel),Riesling,Richard Böcking
16,Argentina,Felix,87,30.0,Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,Felix Lavaque
17,Argentina,Winemaker Selection,87,13.0,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),Malbec,Gaucho Andino
18,Spain,Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,87,28.0,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,Pradorey
19,US,,87,32.0,Quiévremont 2012 Meritage (Virginia),Meritage,Quiévremont
20,US,Vin de Maison,87,23.0,Quiévremont 2012 Vin de Maison Red (Virginia),Red Blend,Quiévremont
21,US,,87,20.0,Acrobat 2013 Pinot Noir (Oregon),Pinot Noir,Acrobat
22,Italy,Ficiligno,87,19.0,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Baglio di Pianetto
23,US,Signature Selection,87,22.0,Bianchi 2011 Signature Selection Merlot (Paso Robles),Merlot,Bianchi
24,Italy,Aynat,87,35.0,Canicattì 2009 Aynat Nero d'Avola (Sicilia),Nero d'Avola,Canicattì
25,US,King Ridge Vineyard,87,69.0,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa
26,Italy,Dalila,87,13.0,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Stemmari
27,Italy,,87,10.0,Stemmari 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Stemmari
28,Italy,Mascaria Barricato,87,17.0,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,Terre di Giurfo
29,US,,86,16.0,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,Clarksburg Wine Company
30,France,Nouveau,86,,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),Gamay,Domaine de la Madone
31,Italy,Calanìca Nero d'Avola-Merlot,86,,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Red Blend,Duca di Salaparuta
32,Italy,Calanìca Grillo-Viognier,86,,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),White Blend,Duca di Salaparuta
33,US,Puma Springs Vineyard,86,50.0,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,Envolve
34,US,,86,20.0,Envolve 2011 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,Envolve
35,US,Hyland,86,50.0,Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,Erath
36,Chile,Estate,86,15.0,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,Estampa
37,Italy,Missoni,86,21.0,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,Feudi del Pisciotto
38,Italy,I Tratturi,86,11.0,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,Feudi di San Marzano
39,Italy,Purato Made With Organic Grapes,86,12.0,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,Feudo di Santa Tresa
40,Italy,,86,17.0,Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,Feudo Montoni
41,US,,86,22.0,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars
42,France,Nouveau,86,9.0,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,Henry Fessy
43,US,,86,14.0,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,Robert Hall
44,Chile,,86,9.0,Sundance 2011 Merlot (Maule Valley),Merlot,Sundance
45,US,#SocialSecret,86,40.0,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,Tarara
46,Italy,Sallier de la Tour,86,13.0,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,Tasca d'Almerita
47,US,,86,13.0,The White Knight 2011 Riesling (Lake County),Riesling,The White Knight
48,US,,86,16.0,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,Trump
49,France,Eté Indien,86,14.0,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),Gamay,Vignerons de Bel Air
50,Italy,Scialo,86,,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,Viticultori Associati Canicatti
51,Chile,Gran Reserva,85,22.0,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Petit Verdot,Casa Silva
52,Italy,Dolia,85,14.0,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Monica,Cantine di Dolianova
53,France,La Fleur d'Amélie,85,15.0,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,Château de Sours
54,Italy,Rosso,85,,Corvo 2010 Rosso Red (Sicilia),Red Blend,Corvo
55,US,Estate Bottled,85,30.0,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,RustRidge
56,US,,85,14.0,Souverain 2010 Chardonnay (North Coast),Chardonnay,Souverain
57,Italy,Sallier de la Tour,85,13.0,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),Grillo,Tasca d'Almerita
58,Chile,Reserve,85,13.0,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Pinot Noir,Tres Palacios
59,US,,86,55.0,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,Mellisoni
60,US,Estate,86,100.0,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Okapi
61,Italy,Prugneto,86,17.0,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Podere dal Nespoli
62,US,Alder Ridge Vineyard,86,25.0,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Ram
63,France,Brut Rosé,86,58.0,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,Roland Champion
64,US,Golden Horn,86,26.0,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Sevtap
65,France,,86,24.0,Simonnet-Febvre 2015  Chablis,Chardonnay,Simonnet-Febvre
66,France,,86,15.0,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,Vignerons des Terres Secrètes
67,US,Inspired,86,46.0,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars
68,US,,86,12.0,Cocobon 2014 Red (California),Red Blend,Cocobon
69,France,Brut Rosé,86,55.0,Collet NV Brut Rosé  (Champagne),Champagne Blend,Collet
70,US,,86,12.0,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller
71,US,Old Vine,86,40.0,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno
72,Italy,Daginestra,86,32.0,Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,Grifalco
73,US,Bella Vetta Vineyard,86,75.0,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight
74,US,Estate Grown,86,55.0,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,Hindsight
75,US,The Cypher,86,75.0,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Bordeaux-style Red Blend,Mulvane Wine Co.
76,Germany,,86,9.0,Schmitt Söhne 2015 Riesling (Rheinhessen),Riesling,Schmitt Söhne
77,Australia,Made With Organic Grapes,86,18.0,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Yalumba
78,US,Rosé of,86,25.0,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO
79,Portugal,Bridão,86,,Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),Touriga Nacional,Adega Cooperativa do Cartaxo
80,Chile,Special Release Reserva,86,12.0,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Carmenère,Aresti
81,Spain,,86,16.0,Spyro 2014 Albariño (Rías Baixas),Albariño,Spyro
82,France,La Réserve,86,11.0,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),Petit Manseng,Lionel Osmin & Cie
83,Australia,Jester Sangiovese,86,20.0,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Rosé,Mitolo
84,US,Classic,86,24.0,Napa Cellars 2014 Classic Zinfandel (Napa Valley),Zinfandel,Napa Cellars
